brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Honda,City,24,98000,Manual,second,Petrol,Nov-24,195000,12.180754837545884
Toyota,Innova,16,190000,Manual,second,Diesel,Jul-24,375000,12.834681304952548
Volkswagen,VentoTest,15,77246,Manual,first,Diesel,Nov-24,184999,12.128105698640447
Maruti Suzuki,Swift,8,83500,Manual,second,Diesel,Nov-24,565000,13.244581010128577
Maruti Suzuki,Baleno,6,45000,Automatic,first,Petrol,Nov-24,685000,13.437174117244362
BMW,Other_Models,11,83000,Automatic,first,Diesel,Nov-24,1350000,14.115615150414612
Toyota,Innova,11,168000,Manual,second,Diesel,Nov-24,1025000,13.840203170554645
BMW,5 Series,6,25000,Automatic,second,Diesel,Nov-24,5950000,15.598901777521812
Maruti Suzuki,Other_Models,5,33759,Manual,second,Petrol,Nov-24,622000,13.340695371721317
Other_Brands,Ecosport,8,69713,Manual,second,Petrol,Nov-24,649000,13.383187995686226
Maruti Suzuki,Alto-K10,7,70000,Automatic,first,Petrol,Nov-24,395000,12.886641043883259
Other_Brands,Other_Models,4,25000,Automatic,first,Diesel,Nov-24,2900000,14.880221294956703
Maruti Suzuki,Swift-Dzire,13,72700,Manual,second,Petrol,Nov-24,240000,12.388394202324129
Toyota,Other_Models,18,121931,Automatic,second,Petrol,Nov-24,201350,12.2127999662796
Hyundai,Other_Models,7,130000,Manual,second,Diesel,Nov-24,330000,12.706847933442663
Other_Brands,Seltos,5,68000,Manual,first,Diesel,Oct-24,1045000,13.85952744338105
Maruti Suzuki,Ertiga,9,65000,Manual,second,Diesel,Nov-24,785000,13.573438996764546
Maruti Suzuki,Ertiga,8,59000,Automatic,second,Petrol,Nov-24,555000,13.226723392728571
BMW,3 Series GT,10,61000,Automatic,second,Diesel,Nov-24,1500000,14.22097566607244
Other_Brands,Endeavour,6,77000,Automatic,second,Diesel,Nov-24,2399000,14.690562541821832
Toyota,Innova Crysta,8,107000,Automatic,first,Diesel,Nov-24,1325000,14.09692301740246
Honda,City,15,99000,Manual,first,Petrol,Nov-24,295000,12.594730635321957
Audi,Other_Models,10,42000,Automatic,second,Diesel,Nov-24,1050000,13.864300722133706
Other_Brands,KWID,6,48073,Automatic,second,Petrol,Nov-24,355000,12.779873068457553
Other_Brands,Other_Models,6,32618,Automatic,first,Petrol,Oct-24,1250000,14.038654109278484
Maruti Suzuki,Swift-Dzire,13,70000,Manual,second,Diesel,Nov-24,315000,12.66032791780777
Maruti Suzuki,Celerio,11,51000,Automatic,second,Petrol,Nov-24,345000,12.751299696013497
Maruti Suzuki,Vitara-Brezza,7,137000,Manual,first,Diesel,Nov-24,845000,13.64709190633931
Toyota,Other_Models,2,1996,Automatic,first,Diesel,Nov-24,4195000,15.249403897883443
Toyota,Innova Crysta,8,90000,Manual,second,Diesel,Nov-24,1950000,14.48333993053993
Toyota,Innova,14,84000,Manual,second,Diesel,Nov-24,490000,13.102160670086809
Other_Brands,Other_Models,7,53000,Automatic,first,Diesel,Nov-24,2950000,14.897315728316002
Hyundai,Venue,4,17000,Manual,first,Petrol,Nov-24,685000,13.437174117244362
Maruti Suzuki,Ertiga,7,70000,Manual,second,Petrol,Nov-24,749000,13.526494262499357
Hyundai,Creta,2,5000,Automatic,first,Petrol,Nov-24,1600000,14.28551418721001
Hyundai,Other_Models,3,47110,Manual,second,Diesel,Nov-24,1695000,14.343193298796688
Hyundai,i20,6,35000,Manual,first,Petrol,Nov-24,585000,13.279367126213993
Mercedes-Benz,E-Class,6,101570,Automatic,first,Diesel,Oct-24,4200000,15.250595083253597
Volkswagen,Polo,4,42000,Manual,second,Petrol,Nov-24,675000,13.422467969854667
Maruti Suzuki,Baleno,7,30000,Manual,second,Petrol,Nov-24,630000,13.353475098367715
Hyundai,Verna,9,82100,Manual,second,Diesel,Nov-24,465000,13.049792684569493
Audi,Other_Models,13,90000,Automatic,second,Diesel,Aug-24,899000,13.709038313453757
Toyota,Fortuner,14,193000,Manual,second,Diesel,Nov-24,1125000,13.933293593620657
Mercedes-Benz,C-Class,10,65000,Automatic,first,Diesel,Nov-24,1750000,14.375126345899696
Hyundai,Creta,3,30000,Automatic,second,Petrol,Nov-24,1690000,14.340239086899256
Maruti Suzuki,Swift-Dzire,5,94856,Manual,first,Petrol,Nov-24,690000,13.444446876573442
Other_Brands,Other_Models,2,12000,Automatic,first,Petrol,Nov-24,1800000,14.403297222866392
Maruti Suzuki,Ciaz,7,0,Manual,first,Petrol,Nov-24,500000,13.122363377404328
Toyota,Innova Crysta,7,118000,Automatic,first,Diesel,Nov-24,1795000,14.400515579904516
Mercedes-Benz,C-Class,9,41000,Automatic,second,Petrol,Oct-24,2000000,14.508657738524219
Honda,City,15,79000,Manual,second,Petrol,Nov-24,290000,12.577636201962656
Honda,Other_Models,9,103001,Manual,second,Diesel,Nov-24,555555,13.227722893061655
Hyundai,Creta,8,70000,Manual,second,Petrol,Nov-24,765000,13.547631112808673
Other_Brands,Duster,7,130000,Manual,first,Diesel,Nov-24,690000,13.444446876573442
Maruti Suzuki,Wagon-R,14,78000,Manual,second,Petrol,Nov-24,225000,12.323855681186558
Toyota,Fortuner,8,115000,Automatic,second,Diesel,Nov-24,2390000,14.686803923907693
Mahindra,Other_Models,8,160000,Manual,second,Diesel,Nov-24,550000,13.217673557208654
Hyundai,Eon,8,27000,Manual,second,Petrol,Oct-24,300000,12.611537753638338
Other_Brands,Other_Models,5,81600,Automatic,first,Petrol,Nov-24,1021000,13.836293097146802
Hyundai,Creta,8,54000,Automatic,first,Petrol,Nov-24,811000,13.60602333309755
Mahindra,XUV500,7,76000,Manual,first,Diesel,Nov-24,1125000,13.933293593620657
Mercedes-Benz,Other_Models,11,86000,Automatic,first,Diesel,Nov-24,3000000,14.914122846632385
Hyundai,i10,14,65000,Manual,second,Petrol,Nov-24,115000,11.652687407345388
Mercedes-Benz,Other_Models,7,60000,Automatic,second,Diesel,Nov-24,1450000,14.187074114396758
Other_Brands,Other_Models,2,24000,Manual,first,Petrol,Nov-24,1225000,14.018451401960965
Toyota,Innova,14,100231,Manual,second,Diesel,Nov-24,429101,12.969447601436
Maruti Suzuki,Other_Models,2,13000,Manual,second,Petrol,Nov-24,610000,13.321214236149494
